*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=buck-f
*Date=03:48:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
114;;;120.627;-8.70889;0;Bottom;TXT9
115;;[THT];173.013;-5.58782;0;Bottom;SW2
116;;;162.631;-36.155;0;Bottom;TXT4
117;;;22.9498;-15.0074;0;Bottom;TXT10
118;;;15.4332;-12.422;0;Bottom;TXT2
119;;;215.954;-25.5562;0;Bottom;Via6
120;;;29.5276;-32.8197;0;Bottom;TXT1
121;;;224.79;-35.3318;0;Bottom;TXT11
122;;;40.3485;-32.7293;0;Bottom;TXT2
123;;;134.378;-47.9781;0;Bottom;TXT10
124;;;21.5339;-46.9707;0;Bottom;TXT3
125;;;15.5021;-30.2077;0;Bottom;TXT2
126;;;29.5161;-17.5798;0;Bottom;TXT1
127;;;15.4871;-27.6586;0;Bottom;TXT2
128;;;48.2247;-35.3224;0;Bottom;TXT10
129;;THT;141.229;-2.42944;90;Bottom;J1
130;;;28.6242;-25.1997;0;Bottom;TXT1
131;;THT;93.886;-2.42944;90;Bottom;J3
132;;;29.5161;-22.6598;0;Bottom;TXT1
133;;;15.4833;-32.7403;0;Bottom;TXT2
134;;;158.421;-32.3215;0;Bottom;Via26
135;;;116.88;-26.8262;0;Bottom;Via7
136;;;15.4909;-37.817;0;Bottom;TXT2
137;;;48.2247;-27.7024;0;Bottom;TXT10
138;;;22.9626;-30.2604;0;Bottom;TXT10
139;;DIP (Dual Inline) [THT];15.494;-26.6229;0;Bottom;IC1
140;;THT;76.073;-24.09;180;Bottom;J4
141;;;156.455;-29.3864;0;Bottom;Via20
142;;;6.03464;-25.1997;0;Bottom;TXT1
143;;;48.2247;-20.0824;0;Bottom;TXT10
144;;;48.2247;-30.2424;0;Bottom;TXT10
145;;[THT];193.341;-5.60447;0;Bottom;SW4
146;;;29.5513;-35.3597;0;Bottom;TXT1
147;;;6.04644;-32.8197;0;Bottom;TXT1
148;;;22.9626;-20.1004;0;Bottom;TXT10
149;;;143.777;-20.4994;0;Bottom;Via14
